@dataValueAttribs												
precip	0	9999	mm									
@dataSetAttribs												
missingDataVal	-9999											
dataStart	01.01.1985 00:00											
dataEnd	31.12.2006 00:00											
tres	d											
@statAttribVal												
name	Chaurikhark	Sallery	Pakarnas	Chialsa	Aisealukhar	Okhaldunga	Manebhanjyang	Kuruleghat	Sirwa	station_9	station_10	station_14
15.08.1985 00:00	18	19	10	7.5	17.9	1.3	0	9.6	10.4	9.784425735	9.433522224	10.12887383
16.08.1985 00:00	11.4	10	16	16.3	3.7	10.2	29.2	0	39.8	11.41585732	5.913387299	10.83539677
17.08.1985 00:00	30.5	8	10	3.5	1.8	10.5	0	0	13.3	15.1114502	6.694805145	14.59546661
18.08.1985 00:00	28	2	36	14.1	0	17.5	0	0	41.5	14.45422268	10.06528568	15.67199707
19.08.1985 00:00	26.7	36	10.5	25	8.1	11.7	0	0	25.5	14.04613972	10.07162762	15.1404686
20.08.1985 00:00	9.7	5.5	31	11.5	34.5	6.5	2.3	2.5	11.8	5.861843109	2.335253716	5.634828091
21.08.1985 00:00	11.2	16	1.5	18.3	0	11.5	0	1.5	63.8	6.511551857	5.485613823	8.312246323
22.08.1985 00:00	6.1	7.2	1.3	4	0	7.5	0	0	22.2	3.324422121	4.2768116	4.229344845
23.08.1985 00:00	4.5	14	15	19	4.5	13.7	9.7	25.8	33	5.13392067	2.552357674	5.862677574
24.08.1985 00:00	15	16	1.5	12	18.4	21.8	30	31.5	8.8	13.04876041	4.494749546	13.90623856
25.08.1985 00:00	56	6	1.6	12	53	14.4	11.5	38.7	23	30.04531479	10.58427143	29.23874283
26.08.1985 00:00	12	15.5	1.8	22	55.3	9.2	1	0	23	7.074750423	3.104697943	8.952620506
27.08.1985 00:00	14	6	31	26	90.4	17.5	0	1.1	18.9	8.003709793	3.852087498	9.10896492
28.08.1985 00:00	11.5	12	40	37.3	37	18.4	0	1	15.9	7.272161007	4.224187374	8.252124786
29.08.1985 00:00	11.7	20	20	26	9.3	7	0	0	23.9	7.132081032	3.775117636	7.636074543
30.08.1985 00:00	12.9	26	12	13	40	14.7	0	10.2	23.5	7.262048244	5.370039463	8.490836143
31.08.1985 00:00	18.1	40	29	20.7	18.1	27.6	0	0	63.3	10.40993404	5.056283951	11.73104763
